Family,Subfamily,Tribe,Genus,Species,Rectilinear,Expanded,Nymph expanded,Link Observation,Link Observation 2,,
Coreidae,Coreinae,Hypselonotini,Catorhintha,texana,1,0,0,https://www.inaturalist.org/observations/89441517,https://www.inaturalist.org/observations/171248117,,
Coreidae,Coreinae,Hypselonotini,Cebrenis,danieli,1,0,NA,https://www.inaturalist.org/observations/5140396,https://www.inaturalist.org/observations/141176862,,
Coreidae,Coreinae,Hypselonotini,Hypselonotus,bitrianguliger,1,0,0,https://www.inaturalist.org/observations/195301327,https://www.inaturalist.org/observations/141376305,,
Coreidae,Coreinae,Hypselonotini,Hypselonotus,fulvus,1,0,0,https://www.inaturalist.org/photos/248284586,https://www.inaturalist.org/observations/211778252,,
Coreidae,Coreinae,Hypselonotini,Hypselonotus,lineatus,1,0,0,https://www.inaturalist.org/observations/61722683,https://www.inaturalist.org/observations/187918107,,
Coreidae,Coreinae,Hypselonotini,Hypselonotus,punctiventris,1,0,0,https://www.inaturalist.org/observations/196795341,https://www.inaturalist.org/observations/207757463,,
,,,Hypselonotus,interruptus,1,0,NA,https://www.inaturalist.org/observations/195507197,,,
Coreidae,Coreinae,Hypselonotini,Paryphes,pulchellus,1,0,NA,https://www.inaturalist.org/photos/5543366,http://publication.nhmus.hu/pdf/annHNHM/Annals_HNHM_1913_Vol_11_344.pdf,,
,,,Paryphes,sp.,1,0,0,https://www.inaturalist.org/observations/190500273,https://www.inaturalist.org/observations/41011715,,
Coreidae,Coreinae,Hypselonotini,Scolopocerus,secundarius,1,0,0,https://www.inaturalist.org/observations/134089652,https://www.inaturalist.org/observations/137465850,,
Coreidae,Coreinae,Hypselonotini,Vazquezitocoris,repletus,1,0,NA,https://www.inaturalist.org/observations/9706545,,,
Coreidae,Coreinae,Hypselonotini,Villasitocoris,inconspicuus,1,0,NA,https://www.inaturalist.org/observations/15003684,,,
Coreidae,Coreinae,Hypselonotini,Zicca,commaculata,1,0,NA,https://www.inaturalist.org/observations/105730293,,,
Coreidae,Coreinae,Hypselonotini,Zicca,rubricator,1,0,NA,https://www.inaturalist.org/observations/41311124,,,
Coreidae,Coreinae,Hypselonotini,Zicca,taeniola,1,0,NA,https://www.inaturalist.org/observations/196180424,,,
Coreidae,Coreinae,Latimbini,Latimbus,concolor,1,0,NA,https://www.inaturalist.org/observations/96444110,,,
Coreidae,Coreinae,Latimbini,Latimbus,refulgens,NA,NA,NA,,,,
Coreidae,Coreinae,Manocoreini,Manocoreus,yunnanensis,1,0,0,https://www.inaturalist.org/observations/197599530,,,
Coreidae,Coreinae,Mictini,Anoplocnemis,curvipes,1,0,0,https://www.inaturalist.org/observations/209136052,https://www.inaturalist.org/observations/75023063,,
Coreidae,Coreinae,Mictini,Anoplocnemis,phasiana,1,0,0,https://www.inaturalist.org/observations/18684907,https://www.inaturalist.org/observations/18684908,,
Coreidae,Coreinae,Mictini,Anoplocnemis,sp.1,0,0,0,,,,
Coreidae,Coreinae,Mictini,Anoplocnemis,sp.2,0,0,0,,,,
Coreidae,Coreinae,Mictini,Dianomictis,expansa,1,0,NA,https://www.inaturalist.org/observations/45583314,,,
Coreidae,Coreinae,Mictini,Elasmopoda,alata,1,0,0,https://www.inaturalist.org/observations/125972198,https://www.inaturalist.org/observations/1425885577,,
Coreidae,Coreinae,Mictini,Elasmopoda,sp.,1,0,1,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1189350&ImageID=193211,https://www.inaturalist.org/observations/256895625,,
Coreidae,Coreinae,Mictini,Mictis,longicornis,1,0,0,https://www.inaturalist.org/observations/202855456,https://www.inaturalist.org/observations/94290250,,
Coreidae,Coreinae,Mictini,Mictis,profana,1,0,0,https://www.inaturalist.org/observations/220175043,https://www.inaturalist.org/observations/199626380,,
Coreidae,Coreinae,Mictini,Molipteryx,lunata,1,0,0,https://www.inaturalist.org/observations/183093325,https://www.inaturalist.org/observations/86723540,,
Coreidae,Coreinae,Mictini,Mygdonia,tuberculosa,1,0,0,https://www.inaturalist.org/observations/36440639,,,
Coreidae,Coreinae,Mictini,Plectropoda,cruciata,1,0,NA,https://www.biodiversitylibrary.org/item/60304#page/431/mode/1up,,,
Coreidae,Coreinae,Mictini,Plectropoda,sp.,1,0,0,https://www.inaturalist.org/observations/9641477,https://www.inaturalist.org/observations/41114155,,
Coreidae,Coreinae,Mictini,Plectropodoides,dallastai,NA,NA,NA,,,,
Coreidae,Coreinae,Mictini,Prionolomia,yunnanensis,1,0,NA,http://coreoidea.speciesfile.org/Common/basic/ShowImage.aspx?TaxonNameID=1189474&ImageID=179721,https://www.inaturalist.org/observations/207912483,,
Coreidae,Coreinae,Mictini,Pternistria,bispina,1,0,0,https://www.inaturalist.org/observations/186357628,https://www.inaturalist.org/observations/145243959,,
Coreidae,Coreinae,Nematopodini,Grammopoecilus,angustatus,1,0,NA,https://www.inaturalist.org/observations/146988600,,,
Coreidae,Coreinae,Nematopodini,Melucha,quadrivittis,1,0,0,https://www.inaturalist.org/observations/67640985,https://www.inaturalist.org/observations/193266190,,
